src,dest,pathway
53826,476,R-HSA-5578775
53826,481,R-HSA-5578775
53826,478,R-HSA-5578775
53826,482,R-HSA-5578775
53826,477,R-HSA-5578775
53826,483,R-HSA-5578775
53826,480,R-HSA-5578775
5348,801,R-HSA-5578775
5348,805,R-HSA-5578775
5348,808,R-HSA-5578775
5348,6717,R-HSA-5578775
5348,6546,R-HSA-5578775
5348,6547,R-HSA-5578775
5348,6543,R-HSA-5578775
6588,10768,R-HSA-5578775
6588,3709,R-HSA-5578775
6588,3710,R-HSA-5578775
6588,3708,R-HSA-5578775
487,10768,R-HSA-5578775
487,3709,R-HSA-5578775
487,3710,R-HSA-5578775
487,3708,R-HSA-5578775
1193,6588,R-HSA-5578775
1193,487,R-HSA-5578775
1193,801,R-HSA-5578775
1193,805,R-HSA-5578775
1193,808,R-HSA-5578775
1193,488,R-HSA-5578775
1193,490,R-HSA-5578775
1193,493,R-HSA-5578775
1193,5350,R-HSA-5578775
1193,6717,R-HSA-5578775
1193,6546,R-HSA-5578775
1193,6547,R-HSA-5578775
1193,491,R-HSA-5578775
1193,816,R-HSA-5578775
1193,818,R-HSA-5578775
1193,817,R-HSA-5578775
1193,492,R-HSA-5578775
1193,489,R-HSA-5578775
1193,6543,R-HSA-5578775
1193,815,R-HSA-5578775
10768,6588,R-HSA-5578775
10768,487,R-HSA-5578775
10768,801,R-HSA-5578775
10768,805,R-HSA-5578775
10768,808,R-HSA-5578775
10768,488,R-HSA-5578775
10768,490,R-HSA-5578775
10768,493,R-HSA-5578775
10768,5350,R-HSA-5578775
10768,6717,R-HSA-5578775
10768,6546,R-HSA-5578775
10768,6547,R-HSA-5578775
10768,491,R-HSA-5578775
10768,816,R-HSA-5578775
10768,818,R-HSA-5578775
10768,817,R-HSA-5578775
10768,492,R-HSA-5578775
10768,489,R-HSA-5578775
10768,6543,R-HSA-5578775
10768,815,R-HSA-5578775
476,801,R-HSA-5578775
476,805,R-HSA-5578775
476,808,R-HSA-5578775
476,6717,R-HSA-5578775
476,6546,R-HSA-5578775
476,6547,R-HSA-5578775
476,6543,R-HSA-5578775
481,801,R-HSA-5578775
481,805,R-HSA-5578775
